"",,Kelompok ini mencakup produksi semua bibit tanaman secara vegetatif termasuk,,,
"",,"batang stek, potongan dan pembibitan untuk kelangsungan pengembanganbiakan",,,
"",,tanaman atau membuat batang okulasi tanaman pada keturunannya terpiih yang,,,
"",,diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Termasuk,,,
"",,"kegiatan penanaman tumbuhan untuk ditanam kembali, penanaman tumbuhan",,,
"",,"hidup untuk umbi-umbian, akar-akaran; pemotongan, stek dan cangkokan; spawn",,,
"",,"jamur dan kebun bibit tanaman, kecuali kebun bibit tanaman hutan.",,,
49,01411,PEMBIBITAN DAN BUDIDAYA SAPI POTONG,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"sapi potong, untuk menghasilkan ternak bibit sapi potong, mani dan mudigah dan",,,
"",,peternakan yang menyelenggarakan budidaya sapi potong (termasuk kegiatan,,,
"",,penggemukan) untuk menghasilkan sapi bakalan dan sapi potong.,,,
50,01412,PEMBIBITAN DAN BUDIDAYA SAPI PERAH,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"sapi perah, untuk menghasilkan ternak bibit sapi perah, mani dan mudigah dan",,,
"",,peternakan yang menyelenggarakan budidaya sapi perah untuk menghasilkan,,,
"",,susu.,,,
51,01413,PEMBIBITAN DAN BUDIDAYA KERBAU POTONG,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"kerbau potong, untuk menghasilkan ternak bibit kerbau potong, mani dan mudigah",,,
"",,dan peternakan yang menyelenggarakan budidaya kerbau (termasuk kegiatan,,,
"",,penggemukan) untuk menghasilkan kerbau bakalan dan kerbau potong.,,,
52,01414,PEMBIBITAN DAN BUDIDAYA KERBAU PERAH,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"kerbau perah, untuk menghasilkan ternak bibit kerbau perah, mani dan mudigah",,,
"",,dan peternakan yang menyelenggarakan budidaya kerbau perah untuk,,,
"",,menghasilkan susu.,,,
53,01420,PETERNAKAN KUDA DAN SEJENISNYA,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"kuda, untuk menghasilkan ternak bibit kuda, mani dan mudigah dan peternakan",,,
"",,"yang menyelenggarakan budidaya kuda untuk menghasilkan kuda potong, kuda",,,
"",,pacu dan kuda tarik.,,,
54,01430,PETERNAKAN UNTA DAN SEJENISNYA,11,10,9
"",,Kelompok ini mencakup pembibitan dan budidaya unta dan sejenisnya.,,,
55,01441,PEMBIBITAN DAN BUDIDAYA DOMBA,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"domba, yang menghasilkan ternak bibit domba, mani dan mudigah dan peternakan",,,
"",,yang menyelenggarakan budidaya domba (termasuk kegiatan penggemukan) untuk,,,
"",,menghasilkan domba potong dan untuk diambil bulunya.,,,
56,01442,PEMBIBITAN DAN BUDIDAYA KAMBING POTONG,11,10,9
"",,Kelompok ini mencakup usaha yang menyelenggarakan pembibitan kambing,,,
"",,"potong, untuk menghasilkan ternak bibit kambing potong, mani dan mudigah dan",,,
"",,peternakan yang menyelenggarakan budidaya kambing (termasuk kegiatan,,,
"",,penggemukan) untuk menghasilkan kambing potong.,,,
57,01443,PEMBIBITAN DAN BUDIDAYA KAMBING PERAH,11,10,9
"",,Kelompok ini mencakup usaha peternakan yang menyelenggarakan pembibitan,,,
"",,"kambing perah, untuk menghasilkan ternak bibit kambing perah, mani dan",,,
"",,mudigah dan peternakan yang menyelenggarakan budidaya kambing perah untuk,,,
